,NoProvision_Strategy_id0,UniswapV2_Strategy_id1,ConstantTiming_Strategy_id2,Flip_Strategy_id3,LP_return_Strategy_id4,ConstantInterval_Strategy_id5,ConstantThreshold_Strategy_id6,ConstantThreshold_Strategy_id7,KeltnerChannels_Strategy_id8,ACCBands_Strategy_id9,BBands_Strategy_id10,DChannels_Strategy_id11,Holt_Winter_Strategy_id12
max_draw_down,0.054,0.054,0.081,0.057,0.075,0.052,0.096,0.053,0.09,0.053,0.066,0.053,0.056
annualized_returns,-0.208,-0.175,0.227,-0.306,-0.94,0.121,-0.934,-0.308,-0.943,-0.295,-0.561,-0.239,-0.07
benchmark_returns,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193,-0.193
net_value,0.997,0.997,1.003,0.995,0.962,1.002,0.963,0.995,0.961,0.995,0.989,0.996,0.999
profit,-3.191,-2.638,5.604,-4.992,-37.831,1.565,-36.592,-5.023,-38.587,-4.783,-11.211,-3.734,-0.995
net_value_up_down_rate,-0.003,-0.003,0.003,-0.005,-0.038,0.002,-0.037,-0.005,-0.039,-0.005,-0.011,-0.004,-0.001
quote_up_down_rate,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006
position_fee_profit,0.0,0.558,16.952,0.632,5.73,4.794,1.653,2.531,6.135,8.81,8.136,2.659,4.058
position_fee_annualized_returns,0.0,0.761,20.045,0.746,7.3,6.543,1.899,3.273,8.305,11.569,11.105,3.134,5.539
position_market_time_rate,0.0,1.0,1.0,0.491,0.751,1.0,0.408,0.804,0.969,0.858,1.0,0.489,1.0
sharpe_ratio,-0.46,-0.348,0.604,-0.812,-5.921,0.521,-3.696,-0.914,-4.636,-0.829,-1.454,-0.639,0.0
sortino_ratio,-0.385,-0.292,0.364,-0.675,-4.101,0.319,-2.755,-0.939,-3.33,-0.687,-0.795,-0.67,0.0
volatility,0.356,0.355,0.578,0.362,0.459,0.348,0.677,0.333,0.583,0.343,0.486,0.33,0.367
correlation_with_quote_price,1.0,1.0,0.987,0.999,0.943,0.999,0.985,0.997,0.98,0.977,0.979,0.992,0.997
